"cnum","average"
1,0.00205519352768023
2,0.00104498822670384
3,0.011414426589675
4,0.0038636412027091
5,0.00105991720226516
6,0.0017893253572528
7,0.00229522196467185
8,0.00360833882585347
9,0.00146216540730328
10,0.00472009209069869
11,0.00411080980565495
12,0.00566416030288301
13,0.00445456994206709
14,0.00402715395316712
15,0.00183861538882047
16,0.00113699295352607
17,0.00260483322212976
18,0.00412373676547835
19,0.00154630125087889
20,0.00532212029231859
21,0.00265391189096835
22,0.00411979547019845
23,0.00141758841308651
24,0.00156699305216623
25,0.00139901288798968
26,0.00360691763809574
27,0.00386196699122943
28,0.00150806162805432
29,0.001098825123877
30,0.00192860836041126
31,0.00107232356617451
32,0.00147599780972266
33,0.0011295847919502
34,0.0030247652711091
35,0.00231674469194215
36,0.0042861880065259
37,0.00169641642463019
38,0.00352169581396355
39,0.00168582217287426
40,0.00176702537304728
41,0.0103933501216577
42,0.00123569350017784
43,0.00411169165653873
44,0.00407986432224011
45,0.00201047953980548
46,0.00079433263229832
47,0.00420379657036499
48,0.00182577181825319
49,0.00102055152210588
50,0.00386667269814396
51,0.00210053868795198
52,0.00294579362649397
53,0.00315010654895005
54,0.00157324874681788
55,0.00165878042561367
56,0.00196897558032734
57,0.00194670962051107
58,0.00106390615411243
59,0.00141843745430769
60,0.00404823578961044
61,0.00396065753002407
62,0.00104574806069151
63,0.00151848079212922
64,0.00291194045982378
65,0.00648451958173655
66,0.00344064890062339
67,0.00100493147617078
68,0.00144947539801759
69,0.00112079539769806
70,0.0013530132348792
71,0.00444553575504116
72,0.00458737263694849
73,0.002676087608418
74,0.00112787169549531
75,0.004272168572478
76,0.00331318311841937
77,0.00187556121043669
78,0.00193339061864814
79,0.00135517285933101
80,0.00398519346192609
81,0.00110800508762648
82,0.00138406281893988
83,0.00345968520479407
84,0.00201680671807186
85,0.00291153803597687
86,0.00220021197402379
87,0.00411359991473589
88,0.0025237138072915
89,0.00976807222333794
90,0.0040918080363386
91,0.00193653142615092
92,0.00360378334948726
93,0.00261526119438445
94,0.00409039608303957
95,0.00305178003486934
96,0.0116903631662787
97,0.00271090908683862
98,0.0133901855153819
99,0.00101830648334242
100,0.00102170673810787
101,0.00292977715465086
102,0.000968707554223206
103,0.0011427173416624
104,0.00101272777855754
105,0.00164529895379041
106,0.0036365730329401
107,0.00418740100369341
108,0.00320197740674847
109,0.0027498023392492
110,0.00532785446821255
111,0.00143308783730581
112,0.0072638928543846
113,0.00412217600054614
114,0.00187049706062863
115,0.00388067883868365
116,0.00114903997009204
117,0.00444547216659875
118,0.00225418076638183
119,0.00254100581022283
120,0.00409558592480993
121,0.00463310954512151
122,0.0044992887668029
123,0.00141156143749988
124,0.00194658845922528
125,0.00732694984274703
126,0.00151427122593487
127,0.0041351420788047
128,0.00512681308701839
129,0.0040597593612263
130,0.00153268896421358
131,0.00267023731221022
132,0.00834259627594734
133,0.00266042246546288
134,0.00424934998285493
135,0.00272443941108898
136,0.00154961849002172
137,0.00170603124656096
138,0.00144750413335533
139,0.00139780955172687
140,0.00309838405056377
141,0.00930538737150762
142,0.00131528539900558
143,0.00174910249508997
144,0.00429398040963916
145,0.0012155177070844
146,0.0025545598396961
147,0.00137061915998031
148,0.0128601977065738
149,0.00107688215495054
150,0.00416417185552672
151,0.00152465088983654
152,0.00138705967293201
153,0.00265252281227299
154,0.000940394461810234
155,0.00157023675980248
156,0.00462248094962003
157,0.00199745158504025
158,0.00401292159759991
159,0.00260460399345398
160,0.00206562034793565
161,0.00115050608792773
162,0.0117561912279371
163,0.00237144119478731
164,0.00497190790364108
165,0.00107047074900483
166,0.00429807776200579
167,0.000999676188983867
168,0.00566904681857574
169,0.00172180957453583
170,0.00406794306943331
171,0.00103895041560377
172,0.00394877822213387
173,0.00279439924545516
174,0.0130700353405237
175,0.00109841627800049
176,0.00279932121572463
177,0.00331347287966731
178,0.00467244409071459
179,0.00500122258096337
180,0.00222730780372465
181,0.00128369068742714
182,0.00426325072970297
183,0.00116113103450744
184,0.00166131800037345
185,0.00141526257606982
186,0.000990314335824757
187,0.00553144262867533
188,0.00191741625239818
189,0.00150922823433764
190,0.00205318388454735
191,0.00224037230165604
192,0.00144438177693104
193,0.00219619258412496
194,0.00470568818646074
195,0.00169881736286651
196,0.00108600348304556
197,0.00105395596777504
198,0.00412281219576569
199,0.00299369110914937
200,0.00103474279252274
201,0.00203013080617039
202,0.00764570826247238
203,0.00227424801585066
204,0.00463976535318871
205,0.0017599924919529
206,0.00293067659184185
207,0.00258175814719118
208,0.0014268362078289
209,0.00178864099538618
210,0.00451205158852646
211,0.00171622633825531
212,0.00576775994181111
213,0.000984217072544006
214,0.00423642096006575
215,0.00141328946379737
216,0.00148677451443791
217,0.00205092603943026
218,0.00117297191329031
219,0.00315358196599355
220,0.00148678564831372
221,0.00338296322993404
222,0.00168324294713303
223,0.00311273246055925
224,0.00415818306899656
225,0.0010490164233305
226,0.00201072363296917
